sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff,all_layers_max_diff,all_layers_min_of_max
19,4,0.010557293891906738,0.5429469347000122,2.01359486579895,0.0017900466918945312,0.18566571176052094,0.4329763650894165,0.09614461660385132,0.21466809511184692,0.3562290668487549,2.01359486579895,0.3562290668487549
20,0,0.003070145845413208,0.2548830509185791,0.7887684106826782,0.006301164627075195,0.08467397838830948,0.23634272813796997,0.01599276065826416,0.028303146362304688,0.04338490962982178,0.7887684106826782,0.04338490962982178
20,1,0.00888901948928833,0.3037824034690857,0.7997986078262329,0.004027426242828369,0.1318053901195526,0.36840343475341797,0.002545595169067383,0.0037984251976013184,0.006108582019805908,0.7997986078262329,0.006108582019805908
20,2,0.0015162229537963867,0.309394508600235,0.7830891609191895,0.01189035177230835,0.19000990688800812,0.5591472387313843,0.047714412212371826,0.06592708826065063,0.09596765041351318,0.7830891609191895,0.09596765041351318
20,3,0.011514544486999512,0.22656850516796112,0.8632513284683228,0.011040568351745605,0.13183701038360596,0.3101825714111328,0.03868305683135986,0.057180047035217285,0.08937811851501465,0.8632513284683228,0.08937811851501465
20,4,0.0006473064422607422,0.20017999410629272,0.4176501929759979,0.010061025619506836,0.10622598230838776,0.3150925636291504,0.009121537208557129,0.014369596727192402,0.02405691146850586,0.4176501929759979,0.02405691146850586
21,0,0.03701484203338623,0.6512660384178162,2.2205252647399902,0.015491008758544922,0.2722621262073517,0.8280609250068665,0.013241291046142578,0.0235739853233099,0.03371700644493103,2.2205252647399902,0.03371700644493103
21,1,0.01751101016998291,0.7647057771682739,1.8051737546920776,0.004071533679962158,0.3510362505912781,1.147843360900879,0.07378768920898438,0.2219408005475998,0.3124356269836426,1.8051737546920776,0.3124356269836426
21,2,0.011375904083251953,0.3808373212814331,1.0424425601959229,0.007876455783843994,0.20051243901252747,0.5880172252655029,0.006045341491699219,0.015145927667617798,0.03118082880973816,1.0424425601959229,0.03118082880973816
21,3,0.001569509506225586,0.0782056450843811,0.20672136545181274,0.004443660378456116,0.056188009679317474,0.15107262134552002,0.06969928741455078,0.10078540444374084,0.11951228976249695,0.20672136545181274,0.11951228976249695
21,4,0.009944677352905273,0.47697725892066956,1.5361242294311523,0.002033442258834839,0.24248239398002625,0.800205409526825,0.11338663101196289,0.2066616266965866,0.2769660949707031,1.5361242294311523,0.2769660949707031
22,0,0.011815540492534637,0.24936877191066742,0.6926727890968323,0.000926673412322998,0.1087832972407341,0.36917585134506226,0.04521608352661133,0.06432018429040909,0.0922389030456543,0.6926727890968323,0.0922389030456543
