num_neurons_perturbed,baseline_min_epsilon,baseline_avg_epsilon,baseline_max_epsilon,constrained_min_epsilon,constrained_avg_epsilon,constrained_max_epsilon
845,0.9,0.9,0.9,0.9,0.917,1.0
860,0.1,0.1,0.1,0.1,0.1,0.2
911,0.1,0.1,0.1,0.1,0.1001,0.2
930,0.7,0.7,0.7,0.7,0.7049,0.8
940,0.1,0.1,0.1,0.1,0.1001,0.2
992,0.1,0.1,0.1,0.1,0.1001,0.2
998,0.8,0.8,0.8,0.8,0.8008,0.9
1023,0.4,0.4,0.4,0.4,0.4007,0.5
1049,0.1,0.1,0.1,0.1,0.1006,0.2
1068,0.1,0.1,0.1,0.1,0.1001,0.2
1128,0.7,0.7,0.7,0.7,0.7007,0.8
1164,0.1,0.1,0.1,0.1,0.1002,0.2
1195,0.6,0.6,0.6,0.6,0.6035,0.7
1197,0.1,0.1,0.1,0.1,0.1,0.2
1198,0.1,0.1,0.1,0.1,0.1002,0.2
1259,0.1,0.1,0.1,0.1,0.1001,0.2
1384,0.1,0.1,0.1,0.1,0.1001,0.2
1403,0.6,0.6,0.6,0.6,0.6029,0.7
1420,0.2,0.2,0.2,0.2,0.2001,0.3
1487,0.1,0.1,0.1,0.1,0.1,0.2
1587,0.3,0.3,0.3,0.3,0.3002,0.4
1654,0.5,0.5,0.5,0.5,0.5019,0.6
1768,0.1,0.1,0.1,0.1,0.1001,0.2
1776,0.1,0.1,0.1,0.1,0.1,0.1
1787,0.5,0.5,0.5,0.5,0.5102,0.6
1879,0.1,0.1,0.1,0.1,0.1001,0.2
2203,0.1,0.1,0.1,0.1,0.1004,0.2
2211,0.1,0.1,0.1,0.1,0.1,0.1
2239,0.4,0.4,0.4,0.4,0.4001,0.5
2660,0.4,0.4,0.4,0.4,0.4024,0.5
2759,13.6,13.6,13.6,13.7,13.8867,13.9
2774,13.4,13.4,13.4,13.6,13.6,13.6
2775,13.3,13.3,13.3,13.3,13.55,13.6
2781,13.1,13.1,13.1,13.1,13.1,13.1
2782,12.8,12.8,12.8,12.8,12.8,12.8
2783,12.6,12.6,12.6,12.5,12.5,12.5
2784,12.3,12.3,12.3,12.3,12.3,12.3
2785,12.0,12.0,12.0,12.0,12.0,12.0
2786,11.8,11.8,11.8,11.9,11.9955,12.0
2808,11.7,11.7,11.7,11.7,11.7,11.7
2809,11.5,11.5,11.5,11.5,11.5,11.5
2810,11.3,11.3,11.3,11.4,11.4979,11.5
2858,11.2,11.2,11.2,11.3,11.3,11.3
2859,11.1,11.1,11.1,11.1,11.2946,11.3
2896,10.9,10.9,10.9,11.0,11.0,11.0
2897,10.8,10.8,10.8,10.8,10.9889,11.0
2924,10.7,10.7,10.7,10.7,10.7,10.7
2925,10.5,10.5,10.5,10.5,10.6,10.7
2927,10.4,10.4,10.4,10.4,10.475,10.5
2931,10.2,10.2,10.2,10.2,10.2,10.2
2932,10.1,10.1,10.1,10.1,10.18,10.2
2937,9.9,9.9,9.9,9.9,9.9,9.9
2938,9.8,9.8,9.8,9.8,9.8909,9.9
2949,9.7,9.7,9.7,9.6,9.7333,9.8
2952,9.5,9.5,9.5,9.5,9.55,9.6
2954,9.3,9.3,9.3,9.3,9.3833,9.4
2960,9.2,9.2,9.2,9.2,9.2997,9.3
3351,9.1,9.1,9.1,9.1,9.175,9.2
3355,9.0,9.0,9.0,9.0,9.0,9.0
3356,8.9,8.9,8.9,8.9,8.95,9.0
3358,8.8,8.8,8.8,8.8,8.8938,8.9
3374,8.7,8.7,8.7,8.8,8.8,8.8
3375,8.6,8.6,8.6,8.6,8.7692,8.8
3388,8.5,8.5,8.5,8.5,8.55,8.6
3390,8.4,8.4,8.4,8.5,8.5,8.5
3800,0.3,0.3,0.3,0.3,0.3017,0.4
